Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","10.22.169.100","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.2.17 (PCLinuxOS 2011/PREFORK-1pclos2011)"
"10114","CVE-1999-0524","2.1","Low","10.22.169.100","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is 10 seconds.
"
"10287","","","None","10.22.169.100","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.22.169.33 to 10.22.169.100 : 
10.22.169.33
10.22.169.100

Hop Count: 1
"
"10302","","","None","10.22.169.100","tcp","80","Web Server robots.txt Information Disclosure","The remote web server contains a 'robots.txt' file.","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material.","http://www.robotstxt.org/orig.html","Contents of robots.txt :

# $Id: robots.txt 410967 2009-08-06 19:44:54Z oden $
# $HeadURL: svn+ssh://svn.mandriva.com/svn/packages/cooker/apache-conf/current/SOURCES/robots.txt $
# exclude help system from robots
User-agent: *
Disallow: /manual/
Disallow: /manual-2.2/
Disallow: /addon-modules/
Disallow: /doc/
Disallow: /images/
# the next line is a spam bot trap, for grepping the logs. you should _really_ change this to something else...
Disallow: /all_our_e-mail_addresses
# same idea here...
Disallow: /admin/
# but allow htdig to index our doc-tree
#User-agent: htdig
#Disallow:
# disallow stress test
user-agent: stress-agent
Disallow: /
"
"11936","","","None","10.22.169.100","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel
Confidence level : 30
Method : mDNS

 
The remote host is running Linux Kernel"
"19506","","","None","10.22.169.100","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.9.3
Nessus build : 20023
Plugin feed version : 202508200628
Scanner edition used : Nessus

ERROR: Your plugins have not been updated since 2025/8/20
Performing a scan with an older plugin set will yield out-of-date results and
produce an incomplete audit. Please run nessus-update-plugins to get the
newest vulnerability checks from Nessus.org.

Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : Health Care 
Scan policy used : Advanced Scan
Scanner IP : 10.22.169.33
Port scanner(s) : nessus_syn_scanner 
Port range : 65535
Ping RTT : 142.439 ms
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2025/11/4 15:29 UTC 
Scan duration : 144 sec
Scan for malware : no
"
"24260","","","None","10.22.169.100","tcp","80","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive is enabled, etc... 

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
HTTP/2 TLS Support: No
HTTP/2 Cleartext Support: No
SSL : no
Keep-Alive : yes
Options allowed : (Not implemented)
Headers :

  Date: Tue, 04 Nov 2025 15:30:51 GMT
  Server: Apache/2.2.17 (PCLinuxOS 2011/PREFORK-1pclos2011)
  Last-Modified: Sat, 06 Jan 2018 06:21:38 GMT
  ETag: ""407da-13a7-5621593db2080""
  Accept-Ranges: bytes
  Content-Length: 5031
  Keep-Alive: timeout=5, max=100
  Connection: Keep-Alive
  Content-Type: text/html
  
Response Body :

<!DOCTYPE html>
<html lang=""en"">
<head>
	<title>Coming Soon 2</title>
	<meta charset=""UTF-8"">
	<meta name=""viewport"" content=""width=device-width, initial-scale=1"">
<!--===============================================================================================-->	
	<link rel=""icon"" type=""image/png"" href=""images/icons/favicon.ico""/>
<!--===============================================================================================-->
	<link rel=""stylesheet"" type=""text/css"" href=""vendor/bootstrap/css/bootstrap.min.css"">
<!--===============================================================================================-->
	<link rel=""stylesheet"" type=""text/css"" href=""fonts/font-awesome-4.7.0/css/font-awesome.min.css"">
<!--===============================================================================================-->
	<link rel=""stylesheet"" type=""text/css"" href=""vendor/animate/animate.css"">
<!--===============================================================================================-->
	<link rel=""stylesheet"" type=""text/css"" href=""vendor/select2/select2.min.css"">
<!--===============================================================================================-->
	<link rel=""stylesheet"" type=""text/css"" href=""css/util.css"">
	<link rel=""stylesheet"" type=""text/css"" href=""css/main.css"">
<!--===============================================================================================-->
</head>
<body>
	
	<!--  -->
	<div class=""simpleslide100"">
		<div class=""simpleslide100-item bg-img1"" style=""background-image: url('images/bg01.jpg');""></div>
		<div class=""simpleslide100-item bg-img1"" style=""background-image: url('images/bg02.jpg');""></div>
		<div class=""simpleslide100-item bg-img1"" style=""background-image: url('images/bg03.jpg');""></div>
	</div>

	<div class=""size1 overlay1"">
		<!--  -->
		<div class=""size1 flex-col-c-m p-l-15 p-r-15 p-t-50 p-b-50"">
			<h3 class=""l1-txt1 txt-center p-b-25"">
				Coming Soon
			</h3>

			<p class=""m2-txt1 txt-center p-b-48"">
				Our website is under construction, follow us for update now!
			</p>

			<div class=""flex-w flex-c-m cd100 p-b-33"">
				<div class=""flex-col-c-m size2 bor1 m-l-15 m-r-15 m-b-20"">
					<span class=""l2-txt1 p-b-9 days"">35</span>
					<span class=""s2-txt1"">Days</span>
				</div>

				<div class=""flex-col-c-m size2 bor1 m-l-15 m-r-15 m-b-20"">
					<span class=""l2-txt1 p-b-9 hours"">17</span>
					<span class=""s2-txt1"">Hours</span>
				</div>

				<div class=""flex-col-c-m size2 bor1 m-l-15 m-r-15 m-b-20"">
					<span class=""l2-txt1 p-b-9 minutes"">50</span>
					<span class=""s2-txt1"">Minutes</span>
				</div>

				<div class=""flex-col-c-m size2 bor1 m-l-15 m-r-15 m-b-20"">
					<span class=""l2-txt1 p-b-9 seconds"">39</span>
					<span class=""s2-txt1"">Seconds</span>
				</div>
			</div>

			<form class=""w-full flex-w flex-c-m validate-form"">

				<div class=""wrap-input100 validate-input where1"" data-validate = ""Valid email is required: ex@abc.xyz"">
					<input class=""input100 placeholder0 s2-txt2"" type=""text"" name=""email"" placeholder=""Enter Email Address"">
					<span class=""focus-input100""></span>
				</div>
				
				
				<button class=""flex-c-m size3 s2-txt3 how-btn1 trans-04 where1"">
					Subscribe
				</button>
			</form>
		</div>
	</div>



	

<!--===============================================================================================-->	
	<script src=""vendor/jquery/jquery-3.2.1.min.js""></script>
<!--===============================================================================================-->
	<script src=""vendor/bootstrap/js/popper.js""></script>
	<script src=""vendor/bootstrap/js/bootstrap.min.js""></script>
<!--===============================================================================================-->
	<script src=""vendor/select2/select2.min.js""></script>
<!--===============================================================================================-->
	<script src=""vendor/countdowntime/moment.min.js""></script>
	<script src=""vendor/countdowntime/moment-timezone.min.js""></script>
	<script src=""vendor/countdowntime/moment-timezone-with-data.min.js""></script>
	<script src=""vendor/countdowntime/countdowntime.js""></script>
	<script>
		$('.cd100').countdown100({
			/*Set Endtime here*/
			/*Endtime must be > current time*/
			endtimeYear: 0,
			endtimeMonth: 0,
			endtimeDate: 35,
			endtimeHours: 18,
			endtimeMinutes: 0,
			endtimeSeconds: 0,
			timeZone: """" 
			// ex:  timeZone: ""America/New_York""
			//go to "" http://momentjs.com/timezone/ "" to get timezone
		});
	</script>
<!--===============================================================================================-->
	<script src=""vendor/tilt/tilt.jquery.min.js""></script>
	<script >
		$('.js-tilt').tilt({
			scale: 1.1
		})
	</script>
<!--===============================================================================================-->
	<script src=""js/main.js""></script>

</body>
</html>"
"35716","","","None","10.22.169.100","tcp","0","Ethernet Card Manufacturer Detection","The manufacturer can be identified from the Ethernet OUI.","Each ethernet MAC address starts with a 24-bit Organizationally 
Unique Identifier (OUI). These OUIs are registered by IEEE.","n/a","https://standards.ieee.org/faqs/regauth.html
http://www.nessus.org/u?794673b4","
The following card manufacturers were identified :

08:00:27:69:78:54 : PCS Systemtechnik GmbH
"
"43111","","","None","10.22.169.100","tcp","80","HTTP Methods Allowed (per directory)","This plugin determines which HTTP methods are allowed on various CGI
directories.","By calling the OPTIONS method, it is possible to determine which HTTP
methods are allowed on each directory.

The following HTTP methods are considered insecure:
  PUT, DELETE, CONNECT, TRACE, HEAD

Many frameworks and languages treat 'HEAD' as a 'GET' request, albeit
one without any body in the response. If a security constraint was
set on 'GET' requests such that only 'authenticatedUsers' could
access GET requests for a particular servlet or resource, it would be
bypassed for the 'HEAD' version. This allowed unauthorized blind
submission of any privileged GET request.

As this list may be incomplete, the plugin also tests - if 'Thorough
tests' are enabled or 'Enable web applications tests' is set to 'yes'
in the scan policy - various known HTTP methods on each directory and
considers them as unsupported if it receives a response code of 400,
403, 405, or 501.

Note that the plugin output is only informational and does not
necessarily indicate the presence of any security vulnerabilities.","n/a","http://www.nessus.org/u?d9c03a9a
http://www.nessus.org/u?b019cbdb
https://www.owasp.org/index.php/Test_HTTP_Methods_(OTG-CONFIG-006)","Based on the response to an OPTIONS request :

  - HTTP methods GET HEAD OPTIONS POST are allowed on : 

    /

"
"45590","","","None","10.22.169.100","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
Following application CPE's matched on the remote system : 

  cpe:/a:apache:http_server:2.2.17 -> Apache Software Foundation Apache HTTP Server
  cpe:/a:jquery:jquery -> jQuery
  cpe:/a:jquery:jquery:3.2.1 -> jQuery
"
