Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","192.168.1.18","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.2.22 (Debian)"
"10114","CVE-1999-0524","2.1","Low","192.168.1.18","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is 13 seconds.
"
"10192","","","None","192.168.1.18","tcp","3128","HTTP Proxy CONNECT Request Relaying","An HTTP proxy running on the remote host can be used to establish
interactive sessions.","The proxy allows users to perform CONNECT requests such as :

	CONNECT http://cvs.example.org:23 

This request gives the person who made it the ability to have an
interactive session with a third-party site. 

This issue may allow attackers to bypass your firewall by connecting
to sensitive ports such as 23 (telnet) via the proxy, or it may allow
internal users to bypass the firewall rules and connect to ports or
sites they should not be allowed to. 

In addition, your proxy may be used to perform attacks against other
networks.","Reconfigure your proxy to refuse CONNECT requests.","",""
"10195","","","None","192.168.1.18","tcp","3128","HTTP Proxy Open Relay Detection","The remote web proxy server accepts requests.","The remote web proxy accepts unauthenticated HTTP requests from the
Nessus scanner.  By routing requests through the affected proxy, a user
may be able to gain some degree of anonymity while browsing websites,
which will see requests as originating from the remote host itself
rather than the user's host.","Make sure access to the proxy is limited to valid users / hosts.","",""
"10287","","","None","192.168.1.18","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.1.28 to 192.168.1.18 : 
192.168.1.28
192.168.1.18

Hop Count: 1
"
"11305","","","None","192.168.1.18","tcp","3128","HTTP Proxy Open gopher:// Request Relaying","The HTTP proxy accepts gopher:// requests.","Gopher is an old network protocol which predates HTTP and is nearly 
unused today. As a result, gopher-compatible software is generally 
less audited and more likely to contain security bugs than others.

By making gopher requests, an attacker may evade your firewall settings,
by making connections to port 70, or may even exploit arcane flaws in 
this protocol to gain more privileges on this host.","Reconfigure your proxy so that it refuses gopher requests.","",""
"11936","","","None","192.168.1.18","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 3.2 on Debian 7.0 (wheezy)
Debian unstable (sid)
Debian testing (wheezy)
Confidence level : 45
Method : HTTP

 
The remote host is running one of these operating systems : 
Linux Kernel 3.2 on Debian 7.0 (wheezy)
Debian unstable (sid)
Debian testing (wheezy)"
"18261","","","None","192.168.1.18","tcp","0","Apache Banner Linux Distribution Disclosure","The name of the Linux distribution running on the remote host was
found in the banner of the web server.","Nessus was able to extract the banner of the Apache web server and
determine which Linux distribution the remote host is running.","If you do not wish to display this information, edit 'httpd.conf' and
set the directive 'ServerTokens Prod' and restart Apache.","","
The Linux distribution detected was : 
 - Debian 7.0 (wheezy)
 - Debian unstable (sid)
 - Debian testing (wheezy)
"
"19506","","","None","192.168.1.18","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.9.3
Nessus build : 20023
Plugin feed version : 202508200628
Scanner edition used : Nessus

ERROR: Your plugins have not been updated since 2025/8/20
Performing a scan with an older plugin set will yield out-of-date results and
produce an incomplete audit. Please run nessus-update-plugins to get the
newest vulnerability checks from Nessus.org.

Scanner OS : LINUX
Scanner distribution : ubuntu1604-x86-64
Scan type : Normal
Scan name : Sky - Tower
Scan policy used : Advanced Scan
Scanner IP : 192.168.1.28
Port scanner(s) : nessus_syn_scanner 
Port range : 65535
Ping RTT : 147.390 ms
Thorough tests : no
Experimental tests : no
Scan for Unpatched Vulnerabilities : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin did not launch)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : Detected
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan Start Date : 2025/11/6 8:00 UTC 
Scan duration : 146 sec
Scan for malware : no
"
"24260","","","None","192.168.1.18","tcp","80","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive is enabled, etc... 

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
HTTP/2 TLS Support: No
HTTP/2 Cleartext Support: No
SSL : no
Keep-Alive : yes
Options allowed : (Not implemented)
Headers :

  Date: Thu, 06 Nov 2025 08:01:18 GMT
  Server: Apache/2.2.22 (Debian)
  Last-Modified: Fri, 20 Jun 2014 11:23:36 GMT
  ETag: ""57-470-4fc42b97adc0a""
  Accept-Ranges: bytes
  Content-Length: 1136
  Vary: Accept-Encoding
  Keep-Alive: timeout=5, max=100
  Connection: Keep-Alive
  Content-Type: text/html
  
Response Body :

<html>
	<body>

		<div style=""height:100%; width:100%;background-image:url('background.jpg');
				background-size:100%;
			        background-position:50% 50%;
			        background-repeat:no-repeat;"">
			<div style=""
				    background-color:white;	
	                 	    border-color: #000000;
	                 	    border-width: 5px;
	                 	    border-style: solid;
				    width: 300px;
	    			    height:180px;
				    position:absolute;
	  		            top:50%;
	  			    left:50%;
	 			    margin-top:-100px; /* this is half the height of your div*/  
	  			    margin-left:-100px;
				"">
					<form style=""margin: 0 auto;width:250px;"" action='login.php' method='POST'>
						<br><strong>Skytech Login:</strong><br><br>
						<label for=""email"" style=""display: inline-block; width: 90px;"" >E-mail:</label>
						<input name=""email"" type=""text"" size=15 ><br><br>
						<label for=""password"" style=""display: inline-block; width: 90px;"">Password:</label>
						<input name=""password"" type=""password"" size=15><br><br>
						<input type=""submit"" value=""Login"">
					</form>
			</div>
							
		</div>
	</body>
</html>
"
